Block   Quick_sort      Merge_sort
706     0.016000        0.022000
707     0.016000        0.020000
708     0.016000        0.021000
709     0.016000        0.020000
710     0.011000        0.016000
711     0.016000        0.031000
712     0.015000        0.016000
713     0.017000        0.021000
714     0.015000        0.024000
715     0.016000        0.021000
716     0.007000        0.029000
717     0.017000        0.023000
718     0.016000        0.021000
719     0.010000        0.035000
720     0.016000        0.024000
721     0.004000        0.031000
722     0.016000        0.027000
723     0.016000        0.021000
724     0.015000        0.019000
725     0.015000        0.016000
726     0.015000        0.016000
727     0.016000        0.031000
728     0.015000        0.016000
729     0.016000        0.015000
730     0.015000        0.032000
731     0.016000        0.015000
732     0.009000        0.016000
733     0.016000        0.031000
734     0.016000        0.016000
735     0.015000        0.016000
736     0.016000        0.031000
737     0.015000        0.016000
738     0.011000        0.016000
739     0.016000        0.016000
740     0.018000        0.026000
741     0.015000        0.011000
742     0.020000        0.023000
743     0.016000        0.022000
744     0.013000        0.015000
745     0.016000        0.016000
746     0.016000        0.031000
747     0.016000        0.022000
748     0.019000        0.031000
749     0.017000        0.023000
750     0.018000        0.023000
751     0.017000        0.022000
752     0.017000        0.021000
753     0.016000        0.016000
754     0.015000        0.016000
755     0.016000        0.031000
756     0.015000        0.016000
757     0.016000        0.029000
758     0.016000        0.012000
759     0.020000        0.027000
760     0.017000        0.023000
761     0.017000        0.013000
762     0.017000        0.014000
763     0.017000        0.022000
764     0.017000        0.023000
765     0.018000        0.024000
766     0.018000        0.022000
767     0.017000        0.022000
768     0.017000        0.023000
769     0.017000        0.023000
770     0.017000        0.023000
771     0.017000        0.022000
772     0.017000        0.023000
773     0.017000        0.024000
774     0.016000        0.012000
775     0.018000        0.024000
776     0.017000        0.024000
777     0.017000        0.023000
778     0.017000        0.021000
779     0.017000        0.018000
780     0.015000        0.047000
781     0.016000        0.015000
782     0.012000        0.027000
783     0.018000        0.024000
784     0.018000        0.023000
785     0.017000        0.023000
786     0.017000        0.023000
787     0.018000        0.023000
788     0.017000        0.022000
789     0.018000        0.023000
790     0.018000        0.030000
791     0.020000        0.018000
792     0.017000        0.013000
793     0.018000        0.025000
794     0.018000        0.024000
795     0.018000        0.023000
796     0.017000        0.024000
797     0.018000        0.023000
798     0.018000        0.018000
799     0.017000        0.011000
800     0.018000        0.025000
801     0.018000        0.025000
802     0.017000        0.023000
803     0.018000        0.023000
804     0.018000        0.025000
805     0.017000        0.024000
806     0.018000        0.023000
807     0.019000        0.026000
808     0.017000        0.019000
809     0.013000        0.027000
810     0.018000        0.024000
811     0.017000        0.013000
812     0.017000        0.008000
813     0.018000        0.018000
814     0.017000        0.024000
815     0.017000        0.023000
816     0.012000        0.015000
817     0.020000        0.024000
818     0.018000        0.023000
819     0.018000        0.017000
820     0.012000        0.015000
821     0.018000        0.018000
822     0.012000        0.016000
823     0.017000        0.018000
824     0.014000        0.015000
825     0.018000        0.019000
826     0.018000        0.011000
827     0.018000        0.024000
828     0.011000        0.031000
829     0.019000        0.017000
830     0.010000        0.031000
831     0.021000        0.026000
832     0.020000        0.030000
833     0.024000        0.031000
834     0.022000        0.026000
835     0.021000        0.031000
836     0.019000        0.027000
837     0.020000        0.026000
838     0.018000        0.028000
839     0.019000        0.025000
840     0.020000        0.026000
841     0.020000        0.027000
842     0.019000        0.027000
843     0.019000        0.024000
844     0.019000        0.014000
845     0.019000        0.020000
846     0.012000        0.016000
847     0.019000        0.025000
848     0.018000        0.020000
849     0.019000        0.026000
850     0.019000        0.025000
851     0.019000        0.024000
852     0.019000        0.016000
853     0.009000        0.032000
854     0.016000        0.015000
855     0.019000        0.018000
856     0.018000        0.024000
857     0.016000        0.016000
858     0.018000        0.018000
859     0.008000        0.031000
860     0.013000        0.016000
861     0.015000        0.016000
862     0.018000        0.016000
863     0.007000        0.031000
864     0.012000        0.031000
865     0.016000        0.016000
866     0.017000        0.015000
867     0.019000        0.019000
868     0.008000        0.031000
869     0.009000        0.031000
870     0.031000        0.015000
871     0.009000        0.032000
872     0.012000        0.031000
873     0.015000        0.016000
874     0.018000        0.016000
875     0.019000        0.017000
876     0.006000        0.032000
877     0.010000        0.031000
878     0.015000        0.032000
879     0.019000        0.016000
880     0.019000        0.016000
881     0.005000        0.032000
882     0.010000        0.031000
883     0.019000        0.021000
884     0.015000        0.015000
885     0.017000        0.016000
886     0.019000        0.016000
887     0.018000        0.016000
888     0.006000        0.031000
889     0.008000        0.031000
890     0.009000        0.031000
891     0.010000        0.031000
892     0.012000        0.031000
893     0.013000        0.032000
894     0.014000        0.031000
895     0.016000        0.016000
896     0.018000        0.016000
897     0.020000        0.014000
898     0.019000        0.016000
899     0.019000        0.015000
900     0.019000        0.016000
901     0.019000        0.015000
902     0.019000        0.016000
903     0.019000        0.015000
904     0.020000        0.013000
905     0.017000        0.016000
906     0.021000        0.012000
907     0.015000        0.015000
908     0.015000        0.016000
909     0.015000        0.015000
910     0.016000        0.016000
911     0.015000        0.031000
912     0.015000        0.031000
913     0.015000        0.031000
914     0.013000        0.032000
915     0.012000        0.031000
916     0.009000        0.031000
917     0.008000        0.031000
918     0.006000        0.031000
919     0.022000        0.027000
920     0.020000        0.013000
921     0.015000        0.015000
922     0.013000        0.031000
923     0.013000        0.032000
924     0.011000        0.032000
925     0.009000        0.031000
926     0.007000        0.031000
927     0.018000        0.016000
928     0.020000        0.028000
929     0.013000        0.032000
930     0.011000        0.031000
931     0.009000        0.031000
932     0.007000        0.032000
933     0.019000        0.015000
934     0.017000        0.016000
935     0.014000        0.032000
936     0.015000        0.047000
937     0.020000        0.032000
938     0.011000        0.031000
939     0.009000        0.031000
940     0.020000        0.016000
941     0.015000        0.031000
942     0.015000        0.032000
943     0.012000        0.032000
944     0.021000        0.015000
945     0.016000        0.031000
946     0.011000        0.031000
947     0.007000        0.032000
948     0.018000        0.015000
949     0.014000        0.031000
950     0.009000        0.031000
951     0.015000        0.031000
952     0.010000        0.032000
953     0.019000        0.016000
954     0.015000        0.031000
955     0.009000        0.031000
956     0.019000        0.016000
957     0.014000        0.031000
958     0.010000        0.031000
959     0.016000        0.031000
960     0.010000        0.037000
961     0.013000        0.031000
962     0.007000        0.031000
963     0.015000        0.032000
964     0.008000        0.031000
965     0.017000        0.031000
966     0.013000        0.031000
967     0.006000        0.032000
968     0.016000        0.031000
969     0.010000        0.031000
970     0.020000        0.015000
971     0.021000        0.025000
972     0.008000        0.031000
973     0.016000        0.031000
974     0.010000        0.032000
975     0.019000        0.016000
976     0.013000        0.031000
977     0.020000        0.016000
978     0.022000        0.024000
979     0.022000        0.015000
980     0.014000        0.031000
981     0.006000        0.031000
982     0.016000        0.031000
983     0.008000        0.032000
984     0.016000        0.031000
985     0.007000        0.031000
986     0.015000        0.031000
987     0.008000        0.031000
988     0.016000        0.031000
989     0.008000        0.031000
990     0.015000        0.031000
991     0.007000        0.032000
992     0.014000        0.031000
993     0.022000        0.016000
994     0.022000        0.023000
995     0.021000        0.015000
996     0.012000        0.031000
997     0.017000        0.031000
998     0.007000        0.031000
999     0.014000        0.031000
1000    0.019000        0.031000 
