Block   SS_time         SS_swaps        SS_compares     IS_time         IS_swaps        IS_compares
172     0.612000        17199           147911400       0.396000        73755326        73755326
173     0.613000        17299           149636350       0.409000        74715401        74715401
174     0.624000        17399           151371300       0.388000        75630792        75630792
175     0.610000        17499           153116250       0.505000        76450874        76450874
176     0.670000        17599           154871200       0.463000        77389014        77389014
177     0.633000        17699           156636150       0.375000        78270054        78270054
178     0.694000        17799           158411100       0.417000        79090668        79090668
179     0.631000        17899           160196050       0.392000        80059310        80059310
180     0.640000        17999           161991000       0.408000        80997172        80997172
181     0.638000        18099           163795950       0.395000        81918249        81918249
182     0.641000        18199           165610900       0.406000        82770017        82770017
183     0.646000        18299           167435850       0.406000        83675886        83675886
184     0.648000        18399           169270800       0.425000        84474911        84474911
185     0.661000        18499           171115750       0.418000        85338467        85338467
186     0.673000        18599           172970700       0.418000        86233256        86233256
187     0.686000        18699           174835650       0.412000        87106890        87106890
188     0.678000        18799           176710600       0.434000        88018963        88018963
189     0.725000        18899           178595550       0.428000        89013034        89013034
190     0.703000        18999           180490500       0.434000        89945023        89945023
191     0.710000        19099           182395450       0.448000        90963916        90963916
192     0.755000        19199           184310400       0.471000        91876301        91876301
193     0.815000        19299           186235350       0.515000        92852132        92852132
194     0.775000        19399           188170300       0.481000        93752088        93752088
195     0.758000        19499           190115250       0.745000        94717474        94717474
196     0.927000        19599           192070200       0.531000        95654321        95654321
197     0.789000        19699           194035150       0.500000        96664673        96664673
198     0.760000        19799           196010100       0.538000        97626833        97626833
199     0.782000        19899           197995050       0.548000        98614018        98614018
200     0.808000        19999           199990000       0.499000        99619061        99619061
201     0.820000        20099           201994950       0.501000        100695420       100695420
202     0.888000        20199           204009900       0.524000        101798960       101798960
203     0.972000        20299           206034850       0.587000        102798378       102798378
204     0.845000        20399           208069800       0.604000        103876058       103876058
205     0.878000        20499           210114750       0.557000        104925657       104925657
206     0.867000        20599           212169700       0.616000        105962632       105962632
207     0.848000        20699           214234650       0.653000        107086883       107086883
208     0.935000        20799           216309600       0.595000        108141507       108141507
209     0.953000        20899           218394550       0.573000        109128217       109128217
210     0.873000        20999           220489500       0.584000        110140118       110140118
211     1.189000        21099           222594450       0.762000        111325664       111325664
212     1.141000        21199           224709400       0.758000        112435069       112435069
213     1.219000        21299           226834350       0.732000        113466505       113466505
214     1.182000        21399           228969300       0.766000        114520091       114520091
215     1.160000        21499           231114250       0.705000        115643926       115643926
216     1.131000        21599           233269200       0.728000        116655060       116655060
217     1.149000        21699           235434150       0.794000        117804303       117804303
218     1.242000        21799           237609100       0.766000        118986047       118986047
219     1.347000        21899           239794050       0.815000        120066932       120066932
220     1.320000        21999           241989000       1.033000        121109394       121109394
