Block   QS_time         QS_swaps        QS_compares     MS_time         MS_swaps        MS_compares
210     0.007000        198502          358139          0.004000        303232          275437  
211     0.000000        191404          334985          0.012000        304832          276900  
212     0.006000        197035          364319          0.002000        306432          278369  
213     0.000000        191511          359768          0.014000        308032          279715  
214     0.002000        205988          374147          0.009000        309632          281173  
215     0.006000        216379          370985          0.004000        311232          282731  
216     0.006000        177638          372581          0.007000        312832          284066  
217     0.004000        187457          369459          0.005000        314432          285646  
218     0.013000        191071          362853          0.002000        316032          286992  
219     0.007000        214951          393507          0.005000        317632          288497  
220     0.002000        203420          368759          0.009000        319232          290076  
221     0.005000        179521          363619          0.003000        320832          291391  
222     0.000000        194962          370859          0.015000        322432          292933  
223     0.003000        197689          364163          0.008000        324032          294291  
224     0.006000        198533          369945          0.001000        325632          295931  
225     0.009000        213955          388413          0.005000        327232          297327  
226     0.000000        203486          377921          0.014000        328832          298803  
227     0.005000        196261          374126          0.000000        330432          300165  
228     0.013000        203059          368945          0.007000        332032          301812  
229     0.000000        213071          392185          0.012000        333632          302940  
230     0.005000        204395          374165          0.000000        335232          304648  
231     0.012000        217888          399823          0.008000        336832          305975  
232     0.000000        225833          407775          0.015000        338432          307576  
233     0.002000        215261          395895          0.011000        340032          308928  
234     0.005000        221967          403404          0.006000        341632          310291  
235     0.005000        205723          385711          0.001000        343232          311965  
236     0.006000        201324          382435          0.003000        344832          313499  
237     0.000000        225764          432728          0.014000        346432          314833  
238     0.000000        212459          400357          0.013000        348032          316307  
239     0.001000        222171          400394          0.012000        349632          317748  
240     0.007000        208570          398905          0.001000        351232          319280  
241     0.007000        256521          433694          0.002000        352832          320686  
242     0.008000        199032          410227          0.008000        354432          322285  
243     0.000000        224298          414019          0.012000        356032          323731  
244     0.000000        241887          453028          0.014000        357632          325188  
245     0.004000        238504          427962          0.009000        359232          326717  
246     0.007000        243613          429241          0.001000        360832          328057  
247     0.013000        217701          410209          0.001000        362432          329400  
248     0.009000        215543          440265          0.003000        364032          330970  
249     0.000000        224548          425297          0.014000        365632          332584  
250     0.002000        223821          414718          0.011000        367232          334216  
251     0.003000        220920          425881          0.010000        368832          335450  
252     0.007000        228669          418651          0.000000        370432          336985  
253     0.009000        233674          465772          0.002000        372032          338739  
254     0.012000        219347          433490          0.005000        373632          339878  
255     0.007000        208437          430250          0.005000        375232          341475  
256     0.012000        228378          434225          0.002000        376832          342966  
257     0.012000        248798          440726          0.008000        378432          344416  
258     0.011000        235445          457506          0.003000        380032          345897  
259     0.013000        246792          460756          0.006000        381632          347453  
260     0.008000        237625          448936          0.006000        383232          348928  
261     0.000000        252482          459690          0.015000        384832          350375  
262     0.000000        216905          443345          0.016000        386432          351891  
263     0.010000        233135          503020          0.009000        388032          353418  
264     0.009000        259912          472250          0.008000        389632          354857  
265     0.008000        226390          442928          0.008000        391232          356304  
266     0.006000        269342          476504          0.011000        392832          357850  
267     0.005000        229408          447197          0.009000        394432          359291  
268     0.006000        239872          469784          0.008000        396032          360723  
269     0.006000        244891          447285          0.008000        397632          362370  
270     0.006000        266232          464247          0.008000        399232          363816  
271     0.003000        266711          489427          0.010000        400832          365222  
272     0.006000        244333          472196          0.008000        402432          366943  
273     0.004000        267925          481065          0.011000        404032          368195  
274     0.004000        270481          516738          0.010000        405632          369725  
275     0.006000        257760          475594          0.009000        407232          371310  
276     0.007000        284173          498430          0.009000        408832          372584  
277     0.008000        248620          467354          0.009000        410432          374131  
278     0.005000        256847          507953          0.009000        412032          375580  
279     0.007000        294498          549180          0.008000        413632          377065  
280     0.006000        248820          470776          0.011000        415232          378616  
281     0.004000        273692          498705          0.010000        416832          380213  
282     0.003000        277600          502933          0.010000        418432          381593  
283     0.003000        268774          565844          0.010000        420032          383055  
284     0.006000        250238          477366          0.007000        421632          384667  
285     0.006000        270193          512715          0.005000        423232          386167  
286     0.013000        271593          497871          0.002000        424832          387699  
287     0.010000        284282          509805          0.002000        426432          388895  
288     0.007000        294719          524138          0.003000        428032          390610  
289     0.006000        294664          551522          0.010000        429632          392072  
290     0.006000        276783          508694          0.007000        431232          393616  
291     0.000000        262256          494213          0.015000        432832          395147  
292     0.007000        263438          497785          0.004000        434432          396677  
293     0.005000        258904          495241          0.012000        436032          398184  
294     0.008000        245308          498388          0.008000        437632          399637  
295     0.009000        265681          509437          0.007000        439232          400975  
296     0.004000        261071          499071          0.012000        440832          402458  
297     0.011000        278062          505093          0.005000        442432          404022  
298     0.014000        264699          495665          0.004000        444032          405532  
299     0.004000        275016          521156          0.013000        445632          407078  
300     0.000000        291452          541812          0.017000        447232          408572  
301     0.010000        290494          541640          0.007000        448832          410105  
302     0.013000        307357          543255          0.009000        450432          411492  
303     0.002000        298885          540354          0.015000        452032          412991  
304     0.012000        304968          539051          0.008000        453632          414560  
305     0.006000        310724          577712          0.013000        455232          415937  
306     0.007000        308140          575525          0.011000        456832          417561  
307     0.008000        299383          549780          0.011000        458432          419050  
308     0.010000        291902          527393          0.008000        460032          420536  
309     0.009000        269754          540535          0.010000        461632          421880  
310     0.011000        291533          531718          0.009000        463232          423419  
311     0.008000        290647          557392          0.011000        464832          425039  
312     0.000000        265901          550269          0.017000        466432          426625  
313     0.015000        284638          544237          0.008000        468032          427884  
314     0.001000        293229          545033          0.016000        469632          429464  
315     0.012000        368093          615218          0.010000        471232          430982  
316     0.004000        286662          552355          0.014000        472832          432458  
317     0.007000        290845          549022          0.010000        474432          434136  
318     0.008000        298989          603312          0.010000        476032          435496  
319     0.008000        305121          571924          0.010000        477632          436942  
320     0.016000        308740          620094          0.002000        479232          438612  
321     0.003000        313977          561838          0.015000        480832          440016  
322     0.013000        300986          548583          0.005000        482432          441502  
323     0.004000        290952          576066          0.014000        484032          443257  
324     0.013000        290930          571255          0.010000        485632          444421  
325     0.006000        302490          573443          0.013000        487232          446052  
326     0.008000        313140          581507          0.010000        488832          447424  
327     0.015000        283658          575255          0.009000        490432          448977  
328     0.008000        330973          599572          0.011000        492064          450645  
329     0.008000        347743          603163          0.010000        493764          452036  
330     0.000000        302006          589662          0.019000        495464          453577  
331     0.016000        302091          579979          0.009000        497164          455247  
332     0.008000        320919          599881          0.010000        498864          456768  
333     0.017000        353672          594511          0.010000        500564          458196  
334     0.009000        344178          593359          0.008000        502264          459611  
335     0.007000        333250          600583          0.012000        503964          461302  
336     0.010000        312698          606332          0.007000        505664          462697  
337     0.006000        303580          588613          0.013000        507364          464225  
338     0.011000        301462          589857          0.006000        509064          465853  
339     0.007000        300236          587135          0.009000        510764          467568  
340     0.014000        365636          692655          0.012000        512464          469019  
341     0.009000        329805          630495          0.006000        514164          470662  
342     0.001000        349987          614495          0.015000        515864          472065  
343     0.009000        304657          584902          0.007000        517564          473666  
344     0.005000        305938          614248          0.012000        519264          475136  
345     0.011000        305472          591534          0.010000        520964          476724  
346     0.008000        329487          609965          0.009000        522664          478301  
347     0.013000        354842          636687          0.011000        524364          479701  
348     0.008000        329765          613431          0.012000        526064          481326  
349     0.005000        320896          631397          0.016000        527764          482828  
350     0.008000        339171          628647          0.013000        529464          484438  
351     0.009000        331656          668051          0.012000        531164          485975  
352     0.011000        317760          631849          0.011000        532864          487451  
353     0.007000        326371          637075          0.012000        534564          488916  
354     0.010000        323994          619430          0.011000        536264          490643  
355     0.003000        368533          674446          0.015000        537964          492213  
356     0.007000        318213          637129          0.012000        539664          493653  
357     0.008000        383864          650156          0.009000        541364          495151  
358     0.006000        363280          650441          0.013000        543064          496781  
359     0.008000        319933          643530          0.012000        544764          498536  
360     0.011000        352854          626055          0.004000        546464          499928  
361     0.004000        344566          642434          0.011000        548164          501366  
362     0.003000        331177          619343          0.019000        549864          502862  
363     0.010000        319235          638199          0.004000        551564          504489  
364     0.007000        337046          681618          0.007000        553264          506024  
365     0.006000        391352          700779          0.016000        554964          507465  
366     0.010000        323852          656030          0.011000        556664          509152  
367     0.011000        324619          680000          0.006000        558364          510631  
368     0.002000        335140          670502          0.018000        560064          512146  
369     0.017000        346072          645001          0.010000        561764          513643  
370     0.009000        332557          675002          0.004000        563464          515220  
371     0.003000        347538          669909          0.016000        565164          516854  
372     0.009000        326317          653956          0.009000        566864          518468  
373     0.010000        339405          661551          0.006000        568564          519951  
374     0.009000        331507          673367          0.012000        570264          521630  
375     0.006000        363721          667342          0.014000        571964          522919  
376     0.010000        367977          730030          0.015000        573664          524557  
377     0.013000        348437          697424          0.013000        575364          526250  
378     0.014000        378629          690201          0.014000        577064          527693  
